Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
7/20/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,3,Wednesday
7/21/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,4,Thursday
7/22/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,5,Friday
7/23/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,6,Saturday
7/24/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,7,Sunday
7/25/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,1,Monday
7/26/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,2,Tuesday
7/27/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,3,Wednesday
7/28/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,4,Thursday
7/29/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,5,Friday
7/30/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,6,Saturday
7/31/16,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,7,Sunday
8/1/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,1,Monday
8/2/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,2,Tuesday
8/3/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,3,Wednesday
8/4/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,4,Thursday
8/5/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,5,Friday
8/6/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,6,Saturday
8/7/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,7,Sunday
8/8/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,1,Monday
8/9/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,2,Tuesday
8/10/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,3,Wednesday
8/11/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,4,Thursday
8/12/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,5,Friday
8/13/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,6,Saturday
8/14/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,7,Sunday
8/15/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,1,Monday
8/16/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,2,Tuesday
8/17/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,3,Wednesday
8/18/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,4,Thursday
8/19/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,5,Friday
8/20/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,6,Saturday
8/21/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,7,Sunday
8/22/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,1,Monday
8/23/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,2,Tuesday
8/24/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,3,Wednesday
8/25/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,4,Thursday
8/26/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,5,Friday
8/27/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,6,Saturday
8/28/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,7,Sunday
8/29/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,1,Monday
8/30/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,2,Tuesday
8/31/16,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,3,Wednesday
9/1/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,4,Thursday
9/2/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,5,Friday
9/3/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,6,Saturday
9/4/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,7,Sunday
9/5/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,1,Monday
9/6/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,2,Tuesday
9/7/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,3,Wednesday
9/8/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,4,Thursday
9/9/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,5,Friday
9/10/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,6,Saturday
9/11/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,7,Sunday
9/12/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,1,Monday
9/13/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,2,Tuesday
9/14/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,3,Wednesday
9/15/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,4,Thursday
9/16/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,5,Friday
9/17/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,6,Saturday
9/18/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,7,Sunday
9/19/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,1,Monday
9/20/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,2,Tuesday
9/21/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,3,Wednesday
9/22/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,4,Thursday
9/23/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,5,Friday
9/24/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,6,Saturday
9/25/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,7,Sunday
9/26/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,1,Monday
9/27/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,2,Tuesday
9/28/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,3,Wednesday
9/29/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,4,Thursday
9/30/16,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,5,Friday
1/1/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,5,Friday
1/2/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,6,Saturday
1/3/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,7,Sunday
1/4/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,1,Monday
1/5/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,2,Tuesday
1/6/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,3,Wednesday
1/7/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,4,Thursday
1/8/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,5,Friday
1/9/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,6,Saturday
1/10/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,7,Sunday
1/11/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,1,Monday
1/12/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,2,Tuesday
1/13/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,3,Wednesday
1/14/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,4,Thursday
1/15/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,5,Friday
1/16/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,6,Saturday
1/17/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,7,Sunday
1/18/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,1,Monday
1/19/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,2,Tuesday
1/20/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,3,Wednesday
1/21/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,4,Thursday
1/22/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,5,Friday
1/23/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,6,Saturday
1/24/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,7,Sunday
1/25/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,1,Monday
1/26/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,2,Tuesday
1/27/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,3,Wednesday
1/28/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,4,Thursday
1/29/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,5,Friday
1/30/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,6,Saturday
1/31/16,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,7,Sunday
2/1/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,1,Monday
2/2/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,2,Tuesday
2/3/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,3,Wednesday
2/4/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,4,Thursday
2/5/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,5,Friday
2/6/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,6,Saturday
2/7/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,7,Sunday
2/8/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,1,Monday
2/9/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,2,Tuesday
2/10/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,3,Wednesday
2/11/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,4,Thursday
2/12/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,5,Friday
2/13/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,6,Saturday
2/14/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,7,Sunday
2/15/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,1,Monday
2/16/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,2,Tuesday
2/17/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,3,Wednesday
2/18/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,4,Thursday
2/19/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,5,Friday
2/20/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,6,Saturday
2/21/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,7,Sunday
2/22/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,1,Monday
2/23/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,2,Tuesday
2/24/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,3,Wednesday
2/25/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,4,Thursday
2/26/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,5,Friday
2/27/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,6,Saturday
2/28/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,7,Sunday
2/29/16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,10,Week 10,1,Monday
3/1/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,2,Tuesday
3/2/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,3,Wednesday
3/3/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,4,Thursday
3/4/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,5,Friday
3/5/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,6,Saturday
3/6/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,7,Sunday
3/7/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,1,Monday
3/8/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,2,Tuesday
3/9/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,3,Wednesday
3/10/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,4,Thursday
3/11/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,5,Friday
3/12/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,6,Saturday
3/13/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,7,Sunday
3/14/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,1,Monday
3/15/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,2,Tuesday
3/16/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,3,Wednesday
3/17/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,4,Thursday
3/18/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,5,Friday
3/19/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,6,Saturday
3/20/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,7,Sunday
3/21/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,1,Monday
3/22/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,2,Tuesday
3/23/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,3,Wednesday
3/24/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,4,Thursday
3/25/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,5,Friday
3/26/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,6,Saturday
3/27/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,7,Sunday
3/28/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,1,Monday
3/29/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,2,Tuesday
3/30/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,3,Wednesday
3/31/16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,4,Thursday
4/1/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,5,Friday
4/2/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,6,Saturday
4/3/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,7,Sunday
4/4/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,1,Monday
4/5/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,2,Tuesday
4/6/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,3,Wednesday
4/7/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,4,Thursday
4/8/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,5,Friday
4/9/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,6,Saturday
4/10/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,7,Sunday
4/11/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,1,Monday
4/12/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,2,Tuesday
4/13/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,3,Wednesday
4/14/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,4,Thursday
4/15/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,5,Friday
4/16/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,6,Saturday
4/17/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,7,Sunday
4/18/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,1,Monday
4/19/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,2,Tuesday
4/20/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,3,Wednesday
4/21/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,4,Thursday
4/22/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,5,Friday
4/23/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,6,Saturday
4/24/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,7,Sunday
4/25/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,1,Monday
4/26/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,2,Tuesday
4/27/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,3,Wednesday
4/28/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,4,Thursday
4/29/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,5,Friday
4/30/16,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,6,Saturday
5/1/16,2016,2,Q2,2016 - Q2,5,May,May 2016,18,Week 18,7,Sunday
5/2/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,1,Monday
5/3/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,2,Tuesday
5/4/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,3,Wednesday
5/5/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,4,Thursday
5/6/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,5,Friday
5/7/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,6,Saturday
5/8/16,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,7,Sunday
5/9/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,1,Monday
5/10/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,2,Tuesday
5/11/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,3,Wednesday
5/12/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,4,Thursday
5/13/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,5,Friday
5/14/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,6,Saturday
5/15/16,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,7,Sunday
5/16/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,1,Monday
5/17/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,2,Tuesday
5/18/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,3,Wednesday
5/19/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,4,Thursday
5/20/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,5,Friday
5/21/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,6,Saturday
5/22/16,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,7,Sunday
5/23/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,1,Monday
5/24/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,2,Tuesday
5/25/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,3,Wednesday
5/26/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,4,Thursday
5/27/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,5,Friday
5/28/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,6,Saturday
5/29/16,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,7,Sunday
5/30/16,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,1,Monday
5/31/16,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,2,Tuesday
6/1/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,3,Wednesday
6/2/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,4,Thursday
6/3/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,5,Friday
6/4/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,6,Saturday
6/5/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,7,Sunday
6/6/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,1,Monday
6/7/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,2,Tuesday
6/8/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,3,Wednesday
6/9/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,4,Thursday
6/10/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,5,Friday
6/11/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,6,Saturday
6/12/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,7,Sunday
6/13/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,1,Monday
6/14/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,2,Tuesday
6/15/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,3,Wednesday
6/16/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,4,Thursday
6/17/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,5,Friday
6/18/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,6,Saturday
6/19/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,7,Sunday
6/20/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,1,Monday
6/21/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,2,Tuesday
6/22/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,3,Wednesday
6/23/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,4,Thursday
6/24/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,5,Friday
6/25/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,6,Saturday
6/26/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,7,Sunday
6/27/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,1,Monday
6/28/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,2,Tuesday
6/29/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,3,Wednesday
6/30/16,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,4,Thursday
10/1/16,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,40,Week 40,6,Saturday
10/2/16,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,40,Week 40,7,Sunday
10/3/16,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,1,Monday
10/4/16,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,2,Tuesday
10/5/16,2016,4,Q4,2016 - Q4,10,Oct,Oct 2016,41,Week 41,3,Wednesday
